region,state,county,pop,age65plus,white,black,hispanic,eng2lang,highschool,bachelors,income,poverty,density,republican
1001,AL,Autauga County,55395,13.8,77.9,18.7,2.7,3.5,85.6,20.9,24571,12.1,91.8,1
1003,AL,Baldwin County,200111,18.7,87.1,9.6,4.6,5.5,89.1,27.7,26766,13.9,114.6,1
1005,AL,Barbour County,26887,16.5,50.2,47.6,4.5,5,73.7,13.4,16829,26.7,31,1
1007,AL,Bibb County,22506,14.8,76.3,22.1,2.1,2.1,77.5,12.1,17427,18.1,36.8,1
1009,AL,Blount County,57719,17,96,1.8,8.7,7.3,77,12.1,20730,15.8,88.9,1
1011,AL,Bullock County,10764,14.9,26.9,70.1,7.5,5.2,67.8,12.5,18628,21.6,17.5,0
1013,AL,Butler County,20296,18,53.9,44,1.2,1.7,76.3,14,17403,28.4,27,1
1015,AL,Calhoun County,115916,16,75.8,21.1,3.5,4.5,78.6,16.1,20828,21.9,195.7,1
1017,AL,Chambers County,34076,18.3,58.3,39.5,2,1.3,75.1,11.8,19291,24.1,57.4,1
1019,AL,Cherokee County,26037,20.9,93,4.6,1.5,1.1,78.3,12.8,22030,21.2,46.9,1
1021,AL,Chilton County,43931,15.2,87.1,10.6,7.7,7.4,76,12.9,20701,19.5,63,1
1023,AL,Choctaw County,13323,20.8,56.6,42.4,0.8,1.3,75.2,11.8,20323,21.5,15.2,1
1025,AL,Clarke County,24945,18,54,44.2,1.3,1.3,78.3,11.2,18979,29.3,20.9,1
1027,AL,Clay County,13552,19.4,82.8,14.5,3.4,3.3,76.5,9.2,18694,19,23.1,1
1029,AL,Cleburne County,15080,18.4,94.5,3.6,2.5,2.3,76,9,19108,18.4,26.7,1
1031,AL,Coffee County,50909,15.9,76.4,17.7,6.4,7.5,82.4,22.5,23380,18.6,73.6,1
1033,AL,Colbert County,54543,18.5,80.8,16.3,2.6,2.6,83.5,17.7,21572,17.9,91.8,1
1035,AL,Conecuh County,12670,20.4,52.1,46.2,1.8,2.2,77.3,8.8,15605,32.7,15.6,1
1037,AL,Coosa County,10886,18.5,66.1,31.8,2.3,3.3,75,9.8,18493,20.9,17.7,1
1039,AL,Covington County,37914,19.8,84.3,13,1.6,2.1,78.4,14.2,20391,20,36.6,1
1041,AL,Crenshaw County,13977,18,72,24,1.7,3.2,76.7,12.7,21343,19.1,22.8,1
1043,AL,Cullman County,81289,17.6,96.2,1.4,4.4,4.6,79.8,14.8,20760,18.8,109.4,1
1045,AL,Dale County,49484,15.4,75.2,19.7,6.1,6.3,84.1,17,22685,17.4,89.6,1
1047,AL,Dallas County,41711,15.6,29,69.5,1,1.3,77.5,14.2,17245,35.5,44.8,0
1049,AL,DeKalb County,71065,15.7,92.4,2.1,14.2,11.2,70.6,10.7,18149,19.9,91.5,1
1051,AL,Elmore County,80977,14,76,21.2,2.7,3.6,86.6,21,23856,13.4,128.2,1
